,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
474,Hassan Whiteside,C,31,SAC,9,0,12.7,2.6,4.9,.523,0.0,0.0,,2.6,4.9,.523,.523,1.3,2.7,.500,1.0,3.2,4.2,0.6,0.2,1.1,0.8,1.4,6.4
475,Andrew Wiggins,PF,25,GSW,12,12,32.8,6.6,15.3,.432,2.0,5.4,.369,4.6,9.8,.466,.497,2.6,3.5,.738,0.9,3.8,4.7,2.5,0.4,1.8,2.0,2.3,17.8
476,Grant Williams,PF,22,BOS,10,2,20.1,2.0,4.8,.417,0.7,2.2,.318,1.3,2.6,.500,.490,0.3,0.9,.333,1.3,2.0,3.3,0.7,0.6,0.5,0.8,3.1,5.0
477,Kenrich Williams,PF,26,OKC,12,0,12.1,1.3,2.8,.485,0.3,0.8,.400,1.0,1.9,.522,.545,0.6,0.7,.875,0.7,1.6,2.3,1.1,0.5,0.3,0.5,1.5,3.6
478,Lou Williams,PG,34,LAC,12,0,19.7,3.4,7.8,.436,0.8,2.2,.385,2.6,5.7,.456,.489,1.7,2.1,.800,0.3,1.7,1.9,2.6,0.7,0.1,0.8,0.9,9.3
479,Patrick Williams,PF,19,CHI,13,13,26.9,3.8,7.8,.485,1.1,2.2,.500,2.7,5.6,.479,.554,1.5,1.8,.870,0.8,3.1,3.8,1.1,0.8,0.8,1.7,2.7,10.2
480,Robert Williams,C,23,BOS,8,0,16.4,3.0,3.9,.774,0.0,0.1,.000,3.0,3.8,.800,.774,0.8,0.9,.857,2.5,4.0,6.5,0.6,1.1,1.5,1.4,1.3,6.8
481,Zion Williamson,PF,20,NOP,11,11,32.4,9.1,15.8,.575,0.0,0.2,.000,9.1,15.6,.581,.575,4.5,7.0,.636,3.4,4.9,8.3,1.6,1.1,0.5,2.8,2.5,22.6
482,D.J. Wilson,PF,24,MIL,7,0,10.1,1.6,3.7,.423,1.0,2.3,.438,0.6,1.4,.400,.558,0.1,0.3,.500,0.4,2.3,2.7,0.4,0.1,0.3,0.6,1.3,4.3
483,Dylan Windler,SF,24,CLE,1,0,9.0,1.0,5.0,.200,1.0,4.0,.250,0.0,1.0,.000,.300,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
484,Cassius Winston,PG,22,WAS,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
485,James Wiseman,C,19,GSW,12,12,21.3,4.7,9.7,.483,0.5,1.3,.400,4.2,8.4,.495,.509,1.4,2.4,.586,1.3,4.9,6.3,0.4,0.4,1.6,1.5,3.3,11.3
486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Christian Wood,C,25,HOU,10,10,33.8,9.3,17.8,.522,1.6,4.7,.340,7.7,13.1,.588,.567,3.0,4.6,.652,2.4,8.5,10.9,1.4,0.6,1.9,1.9,2.3,23.2
488,Robert Woodard,SF,21,SAC,5,0,3.2,1.2,2.2,.545,0.2,0.6,.333,1.0,1.6,.625,.591,0.0,0.4,.000,0.6,1.0,1.6,0.0,0.0,0.0,0.2,0.0,2.6
489,Delon Wright,SG,28,DET,12,7,26.2,2.6,6.8,.383,0.8,2.3,.333,1.8,4.5,.407,.438,1.7,1.9,.870,0.8,2.8,3.7,4.3,0.7,0.7,1.0,0.8,7.6
490,Thaddeus Young,PF,32,CHI,9,0,23.3,4.6,7.7,.594,0.3,1.3,.250,4.2,6.3,.667,.616,0.8,1.2,.636,1.1,2.7,3.8,3.0,0.9,0.4,2.3,2.7,10.2
491,Trae Young,PG,22,ATL,12,12,32.8,6.7,17.3,.386,1.5,5.7,.265,5.2,11.6,.446,.430,8.3,9.4,.885,1.1,3.1,4.2,8.6,0.5,0.2,4.2,1.8,23.2
492,Cody Zeller,C,28,CHO,1,1,19.0,3.0,6.0,.500,0.0,2.0,.000,3.0,4.0,.750,.500,0.0,1.0,.000,1.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,6.0
493,Ivica Zubac,C,23,LAC,14,1,18.1,2.7,3.9,.691,0.0,0.0,,2.7,3.9,.691,.691,1.9,2.4,.788,1.6,3.1,4.6,1.0,0.5,0.9,1.0,2.4,7.3
