,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
399,Mitchell Robinson,C,22,NYK,14,14,29.7,4.0,6.1,.659,0.0,0.0,,4.0,6.1,.659,.659,0.6,1.4,.474,3.8,4.4,8.1,0.5,1.4,1.9,0.8,2.7,8.6
400,Isaiah Roby,PF,22,OKC,9,3,18.7,3.6,6.0,.593,0.7,1.7,.400,2.9,4.3,.667,.648,1.1,2.0,.556,1.3,3.2,4.6,1.1,0.1,0.4,1.0,2.4,8.9
401,Rajon Rondo,PG,34,ATL,4,0,14.8,1.3,4.3,.294,0.5,1.5,.333,0.8,2.8,.273,.353,0.0,0.0,,0.3,1.3,1.5,4.5,0.3,0.3,1.3,0.5,3.0
402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Derrick Rose,PG,32,DET,9,0,23.3,5.4,12.7,.430,1.0,2.9,.346,4.4,9.8,.455,.469,3.0,3.7,.818,0.3,1.6,1.9,5.2,1.3,0.3,2.2,1.4,14.9
404,Terrence Ross,SG,29,ORL,12,0,27.4,5.7,12.8,.442,2.1,5.7,.368,3.6,7.2,.500,.523,2.8,3.0,.917,0.3,2.4,2.7,1.6,1.2,0.3,1.7,1.9,16.2
405,Terry Rozier,SG,26,CHO,14,14,33.1,7.1,14.8,.478,3.4,7.6,.443,3.7,7.2,.515,.592,2.4,3.1,.773,0.6,3.4,4.1,2.7,1.4,0.5,1.9,2.2,19.9
406,Ricky Rubio,PG,30,MIN,11,3,24.5,2.2,5.7,.381,0.5,1.9,.238,1.7,3.8,.452,.421,1.5,1.5,.941,0.4,2.5,2.8,5.4,1.4,0.0,1.6,2.2,6.3
407,D'Angelo Russell,PG,24,MIN,11,10,31.5,7.7,17.7,.436,2.8,7.3,.388,4.9,10.5,.470,.515,2.5,3.5,.692,0.5,2.6,3.2,5.5,1.3,0.4,3.5,2.3,20.7
408,Domantas Sabonis,PF,24,IND,13,13,37.5,8.6,15.6,.552,0.7,2.2,.310,7.9,13.4,.592,.574,3.8,5.5,.681,3.2,9.7,12.8,5.8,0.8,0.5,3.4,3.8,21.7
409,Luka Šamanić,PF,21,SAS,3,0,2.7,0.3,1.7,.200,0.3,0.7,.500,0.0,1.0,.000,.300,0.3,0.7,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
410,JaKarr Sampson,PF,27,IND,7,0,7.4,1.0,2.1,.467,0.0,0.3,.000,1.0,1.9,.538,.467,0.6,0.7,.800,0.4,1.7,2.1,0.0,0.1,0.3,0.1,0.9,2.6
411,Dario Šarić,PF,26,PHO,7,0,18.9,3.7,8.3,.448,1.4,4.0,.357,2.3,4.3,.533,.534,1.7,1.9,.923,0.4,4.1,4.6,1.0,0.6,0.1,1.6,2.0,10.6
412,Tomáš Satoranský,SG,29,CHI,3,0,22.7,2.3,5.0,.467,0.7,2.0,.333,1.7,3.0,.556,.533,1.0,1.0,1.000,0.7,1.7,2.3,6.0,1.3,0.3,2.7,0.7,6.3
413,Dennis Schröder,SG,27,LAL,14,14,30.9,5.3,12.6,.418,1.2,3.6,.340,4.1,9.1,.449,.466,2.3,2.9,.780,0.6,3.5,4.1,4.8,1.0,0.2,2.4,2.8,14.1
414,Mike Scott,PF,32,PHI,8,2,19.1,1.8,5.5,.318,1.1,4.5,.250,0.6,1.0,.625,.420,0.3,0.4,.667,0.5,2.3,2.8,0.1,0.3,0.3,0.4,1.3,4.9
415,Collin Sexton,SG,22,CLE,8,8,37.4,9.8,18.4,.531,2.0,3.9,.516,7.8,14.5,.534,.585,3.6,4.4,.829,0.5,1.6,2.1,3.5,1.4,0.3,2.1,2.9,25.1
