GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,file_name
0022000002,1610612746,LAC,LA,101150,Lou Williams,,,25:56,3.0,0.0,3.0,4.0,9.0,9.0,5.0,28.0,0.0,0.0,2.0,3.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,1628379,Luke Kennard,,,21:03,0.0,0.0,0.0,4.0,12.0,5.0,4.0,20.0,1.0,0.0,3.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629611,Terance Mann,,,1:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,202704,Reggie Jackson,,,3:21,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629662,Mfiondu Kabengele,,,0:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629599,Amir Coffey,,,0:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,1630187,Daniel Oturu,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,2544,LeBron James,F,,28:21,2.0,4.0,4.0,8.0,2.0,3.0,8.0,18.0,0.0,1.0,2.0,6.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203076,Anthony Davis,F,,30:53,0.0,0.0,0.0,4.0,11.0,13.0,11.0,38.0,0.0,0.0,1.0,2.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201188,Marc Gasol,C,,12:02,0.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,0.0,0.0,5.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,23:03,2.0,0.0,5.0,2.0,6.0,11.0,6.0,24.0,1.0,0.0,2.0,3.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203471,Dennis Schroder,G,,27:48,0.0,0.0,0.0,4.0,8.0,6.0,14.0,34.0,0.0,2.0,4.0,5.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626149,Montrezl Harrell,,,32:15,6.0,5.0,1.0,12.0,16.0,12.0,13.0,32.0,1.0,0.0,1.0,6.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202083,Wesley Matthews,,,11:06,0.0,0.0,0.0,0.0,8.0,2.0,8.0,20.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,26:38,7.0,0.0,0.0,4.0,10.0,5.0,10.0,26.0,0.0,0.0,2.0,1.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,19:00,0.0,0.0,0.0,0.0,5.0,2.0,5.0,12.0,0.0,0.0,0.0,1.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,16:40,0.0,0.0,0.0,0.0,8.0,8.0,2.0,12.0,0.0,0.0,0.0,1.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,10:51,2.0,0.0,2.0,4.0,6.0,9.0,0.0,14.0,0.0,0.0,3.0,4.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,1:23,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201162,Jared Dudley,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628035,Alfonzo McKinnie,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,202695,Kawhi Leonard,F,,34:00,2.0,5.0,0.0,16.0,14.0,4.0,12.0,32.0,0.0,1.0,5.0,3.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,201587,Nicolas Batum,F,,28:10,0.0,0.0,0.0,0.0,14.0,4.0,9.0,22.0,0.0,0.0,2.0,2.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,201586,Serge Ibaka,C,,20:32,0.0,3.0,0.0,4.0,13.0,0.0,9.0,18.0,1.0,0.0,3.0,4.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,202331,Paul George,G,,35:46,9.0,0.0,8.0,10.0,9.0,9.0,8.0,24.0,0.0,0.0,3.0,5.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,201976,Patrick Beverley,G,,22:07,0.0,2.0,3.0,4.0,10.0,0.0,7.0,10.0,0.0,1.0,4.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,1627826,Ivica Zubac,,,26:31,2.0,5.0,2.0,8.0,6.0,9.0,3.0,20.0,1.0,0.0,4.0,2.0,nba_DFs/player_bs_misc_2020-12-22.csv
0022000002,1610612746,LAC,LA,202335,Patrick Patterson,,,19:37,0.0,0.0,0.0,0.0,5.0,5.0,3.0,16.0,0.0,0.0,2.0,0.0,nba_DFs/player_bs_misc_2020-12-22.csv
