GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,file_name
0022000001,1610612751,BKN,Brooklyn,1629013,Landry Shamet,,,19:43,110.8,106.5,75.4,80.4,35.4,26.1,0.0,0.0,0.0,0.0,0.033,0.02,25.0,0.375,0.521,0.163,0.169,113.59,111.99,93.32,46,-0.017,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627747,Caris LeVert,,,24:49,112.3,108.6,72.6,76.3,39.6,32.3,0.417,2.5,18.5,0.04,0.211,0.143,7.4,0.441,0.509,0.349,0.36,114.19,113.15,94.29,58,0.28,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201145,Jeff Green,,,17:17,108.0,105.1,84.3,85.4,23.7,19.8,0.091,1.0,16.7,0.0,0.0,0.0,16.7,0.875,0.875,0.116,0.119,110.37,111.09,92.57,39,0.076,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627752,Taurean Prince,,,16:06,94.9,91.4,79.1,82.9,15.8,8.6,0.0,0.0,0.0,0.0,0.042,0.026,0.0,0.0,0.266,0.053,0.054,104.88,104.35,86.96,35,0.012,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629617,Reggie Perry,,,7:46,88.2,82.4,132.2,129.4,-44.1,-47.1,0.25,0.0,25.0,0.091,0.143,0.111,0.0,0.333,0.333,0.143,0.151,100.49,105.06,87.55,17,0.083,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628971,Bruce Brown,,,7:31,88.2,82.4,133.2,131.3,-45.1,-48.9,0.25,0.5,16.7,0.0,0.167,0.059,33.3,0.333,0.333,0.238,0.252,101.02,105.37,87.8,17,-0.032,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627789,Timothe Luwawu-Cabarrot,,,6:36,85.7,80.0,142.3,140.0,-56.6,-60.0,0.0,0.0,0.0,0.111,0.2,0.143,14.3,0.417,0.417,0.389,0.412,104.58,109.09,90.91,15,-0.016,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629066,Rodions Kurucs,,,6:36,85.7,80.0,142.3,140.0,-56.6,-60.0,0.0,0.0,0.0,0.0,0.2,0.071,0.0,1.5,1.5,0.056,0.059,104.58,109.09,90.91,15,0.129,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,204020,Tyler Johnson,,,5:59,69.2,64.3,164.6,161.5,-95.3,-97.3,0.0,0.0,0.0,0.111,0.0,0.077,0.0,0.0,0.0,0.059,0.063,103.33,108.3,90.25,14,0.018,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203952,Andrew Wiggins,F,,31:14,74.4,76.4,115.8,118.6,-41.4,-42.2,0.071,0.25,4.3,0.0,0.063,0.026,17.4,0.313,0.366,0.259,0.262,111.88,109.11,90.93,72,-0.044,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629672,Eric Paschall,F,,21:33,74.2,75.5,127.7,127.5,-53.4,-51.9,0.0,0.0,0.0,0.036,0.0,0.02,0.0,0.417,0.436,0.127,0.13,112.22,111.37,92.81,49,0.012,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1630164,James Wiseman,C,,24:17,85.7,84.5,97.0,101.7,-11.3,-17.2,0.0,0.0,0.0,0.031,0.161,0.095,5.6,0.577,0.575,0.286,0.29,116.62,114.65,95.54,58,0.166,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626162,Kelly Oubre Jr.,G,,25:39,84.5,84.1,122.1,126.6,-37.6,-42.4,0.118,0.67,10.5,0.114,0.103,0.109,15.8,0.214,0.214,0.243,0.244,120.78,118.83,99.03,63,0.0,nba_DFs/player_bs_advanced_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,201939,Stephen Curry,G,,30:19,88.3,89.2,116.9,120.3,-28.6,-31.1,0.556,3.33,27.8,0.073,0.029,0.053,8.3,0.381,0.439,0.313,0.314,119.41,117.16,97.64,74,0.127,nba_DFs/player_bs_advanced_2020-12-22.csv
