GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,file_name
0022000001,1610612751,BKN,Brooklyn,201145,Jeff Green,,,17:17,0.119,0.214,0.133,0.2,0.182,0.0,0.0,0.0,0.0,0.0,0.143,0.125,0.2,0.0,0.0,0.3,0.0,0.171,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627752,Taurean Prince,,,16:06,0.054,0.0,0.043,0.0,0.111,0.091,0.154,0.0,0.067,0.056,0.0,0.0,0.333,0.333,0.0,0.125,0.125,0.031,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629617,Reggie Perry,,,7:46,0.151,0.2,0.188,0.0,0.143,0.0,0.0,0.25,0.2,0.222,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.143,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628971,Bruce Brown,,,7:31,0.252,0.2,0.188,0.0,0.143,0.0,0.0,0.0,0.2,0.111,0.333,0.667,0.0,0.0,0.0,0.333,0.0,0.143,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627789,Timothe Luwawu-Cabarrot,,,6:36,0.412,0.4,0.429,0.5,0.5,0.0,0.0,0.333,0.25,0.286,0.0,0.333,0.0,0.0,0.0,0.667,0.0,0.417,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629066,Rodions Kurucs,,,6:36,0.059,0.2,0.071,0.5,0.167,0.0,0.0,0.0,0.25,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,204020,Tyler Johnson,,,5:59,0.063,0.0,0.077,0.0,0.0,0.0,0.0,0.333,0.0,0.167,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203952,Andrew Wiggins,F,,31:14,0.262,0.222,0.25,0.4,0.286,0.214,0.222,0.0,0.095,0.065,0.083,0.333,0.0,0.333,0.333,0.235,0.25,0.236,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629672,Eric Paschall,F,,21:33,0.13,0.143,0.146,1.0,0.077,0.125,0.182,0.25,0.0,0.05,0.0,0.0,0.0,0.5,0.5,0.077,0.222,0.162,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1630164,James Wiseman,C,,24:17,0.29,0.412,0.271,0.167,0.059,0.444,0.571,0.2,0.294,0.273,0.0,0.125,0.667,0.0,0.0,0.182,0.308,0.388,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626162,Kelly Oubre Jr.,G,,25:39,0.244,0.15,0.259,0.0,0.3,0.0,0.0,0.571,0.176,0.292,0.133,0.3,0.333,0.4,0.25,0.071,0.083,0.113,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,201939,Stephen Curry,G,,30:19,0.314,0.28,0.323,0.333,0.417,0.4,0.308,0.375,0.05,0.143,0.556,0.25,0.5,0.0,0.25,0.063,0.231,0.303,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626172,Kevon Looney,,,11:17,0.192,0.182,0.167,0.0,0.0,0.0,0.2,0.0,0.286,0.182,0.0,0.4,0.0,0.0,0.0,0.5,0.4,0.154,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203145,Kent Bazemore,,,11:35,0.12,0.077,0.074,0.0,0.111,0.0,0.0,0.0,0.25,0.182,0.25,0.333,0.333,0.0,0.0,0.375,0.333,0.069,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627814,Damion Lee,,,12:14,0.058,0.077,0.071,0.167,0.1,0.0,0.0,0.2,0.6,0.467,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.088,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627737,Marquese Chriss,,,12:26,0.296,0.444,0.37,0.333,0.429,0.0,0.0,0.75,0.5,0.571,0.25,0.0,0.0,0.0,0.333,0.286,0.0,0.375,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629673,Jordan Poole,,,17:55,0.135,0.083,0.118,0.0,0.111,0.0,0.0,0.0,0.143,0.105,0.375,0.333,0.0,0.0,0.0,0.25,0.111,0.061,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,202954,Brad Wanamaker,,,21:40,0.09,0.0,0.044,0.0,0.083,0.6,0.4,0.0,0.063,0.043,0.25,0.167,0.0,0.0,0.0,0.25,0.273,0.067,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629308,Juan Toscano-Anderson,,,13:15,0.058,0.25,0.077,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.333,0.0,0.0,0.5,0.0,0.429,0.143,0.174,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1628539,Mychal Mulder,,,6:36,0.19,0.375,0.25,0.5,0.4,0.0,0.0,0.0,0.167,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203925,Joe Harris,F,,20:46,0.17,0.167,0.17,0.286,0.294,0.0,0.0,0.333,0.238,0.259,0.133,0.25,0.0,0.25,0.0,0.2,0.1,0.161,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201142,Kevin Durant,F,,24:56,0.284,0.269,0.302,0.125,0.111,0.467,0.368,0.143,0.16,0.156,0.2,0.111,0.6,0.25,0.333,0.273,0.4,0.293,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201599,DeAndre Jordan,C,,17:03,0.143,0.111,0.083,0.0,0.0,0.0,0.182,0.4,0.429,0.423,0.083,0.375,0.5,0.5,0.333,0.25,0.222,0.08,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203915,Spencer Dinwiddie,G,,19:57,0.197,0.095,0.143,0.143,0.176,0.4,0.308,0.0,0.217,0.179,0.286,0.375,0.0,0.0,0.0,0.125,0.182,0.153,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,202681,Kyrie Irving,G,,25:18,0.249,0.357,0.291,0.4,0.35,0.133,0.105,0.143,0.12,0.125,0.267,0.111,0.0,0.0,0.167,0.273,0.133,0.321,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628386,Jarrett Allen,,,19:37,0.148,0.133,0.094,0.0,0.0,0.267,0.263,1.0,0.25,0.368,0.286,0.286,0.143,0.667,0.0,0.0,0.333,0.154,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629013,Landry Shamet,,,19:43,0.169,0.077,0.138,0.167,0.364,0.176,0.19,0.0,0.056,0.048,0.0,0.222,0.143,0.0,0.0,0.333,0.167,0.122,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627747,Caris LeVert,,,24:49,0.36,0.333,0.425,0.375,0.313,0.263,0.261,0.2,0.364,0.333,0.556,0.182,0.25,0.2,0.667,0.083,0.214,0.317,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201145,Jeff Green,,,17:17,0.119,0.214,0.133,0.2,0.182,0.0,0.0,0.0,0.0,0.0,0.143,0.125,0.2,0.0,0.0,0.3,0.0,0.171,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627752,Taurean Prince,,,16:06,0.054,0.0,0.043,0.0,0.111,0.091,0.154,0.0,0.067,0.056,0.0,0.0,0.333,0.333,0.0,0.125,0.125,0.031,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629617,Reggie Perry,,,7:46,0.151,0.2,0.188,0.0,0.143,0.0,0.0,0.25,0.2,0.222,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.143,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628971,Bruce Brown,,,7:31,0.252,0.2,0.188,0.0,0.143,0.0,0.0,0.0,0.2,0.111,0.333,0.667,0.0,0.0,0.0,0.333,0.0,0.143,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627789,Timothe Luwawu-Cabarrot,,,6:36,0.412,0.4,0.429,0.5,0.5,0.0,0.0,0.333,0.25,0.286,0.0,0.333,0.0,0.0,0.0,0.667,0.0,0.417,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629066,Rodions Kurucs,,,6:36,0.059,0.2,0.071,0.5,0.167,0.0,0.0,0.0,0.25,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,nba_DFs/player_bs_usage_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,204020,Tyler Johnson,,,5:59,0.063,0.0,0.077,0.0,0.0,0.0,0.0,0.333,0.0,0.167,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,202695,Kawhi Leonard,F,,34:00,0.36,0.313,0.388,0.091,0.286,0.455,0.313,0.0,0.1,0.067,0.176,0.25,0.4,0.0,0.5,0.208,0.176,0.302,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,201587,Nicolas Batum,F,,28:10,0.07,0.038,0.073,0.111,0.12,0.0,0.0,0.125,0.278,0.231,0.429,0.1,0.5,0.0,0.0,0.111,0.133,0.043,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,201586,Serge Ibaka,C,,20:32,0.212,0.313,0.206,0.333,0.214,0.6,0.714,0.667,0.267,0.333,0.0,0.1,0.0,1.0,0.0,0.214,0.444,0.349,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,202331,Paul George,G,,35:46,0.267,0.382,0.269,0.417,0.25,0.182,0.125,0.0,0.25,0.214,0.176,0.417,0.111,0.0,0.0,0.188,0.313,0.363,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,201976,Patrick Beverley,G,,22:07,0.197,0.2,0.209,0.222,0.217,0.0,0.0,0.571,0.133,0.273,0.231,0.25,0.0,0.0,0.5,0.308,0.0,0.172,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1627826,Ivica Zubac,,,26:31,0.115,0.143,0.086,0.0,0.0,0.333,0.333,0.375,0.214,0.273,0.083,0.167,0.143,0.5,0.0,0.267,0.182,0.151,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,202335,Patrick Patterson,,,19:37,0.133,0.056,0.135,0.2,0.267,0.0,0.0,0.333,0.182,0.214,0.125,0.167,0.333,0.0,0.0,0.182,0.0,0.065,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,101150,Lou Williams,,,25:56,0.168,0.16,0.167,0.4,0.2,0.2,0.375,0.0,0.143,0.095,0.3,0.125,0.0,0.0,0.0,0.125,0.375,0.183,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1628379,Luke Kennard,,,21:03,0.144,0.1,0.154,0.0,0.231,0.0,0.0,0.0,0.222,0.143,0.25,0.143,0.4,0.5,0.0,0.188,0.0,0.078,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629611,Terance Mann,,,1:03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,202704,Reggie Jackson,,,3:21,0.333,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629662,Mfiondu Kabengele,,,0:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629599,Amir Coffey,,,0:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1630187,Daniel Oturu,,DNP - Coach's Decision                  ,,0.0,,,,,,,,,,,,,,,,,,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,2544,LeBron James,F,,28:21,0.345,0.292,0.321,0.375,0.32,0.5,0.467,0.333,0.115,0.156,0.333,0.4,0.0,0.0,1.0,0.182,0.462,0.333,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203076,Anthony Davis,F,,30:53,0.277,0.32,0.288,0.0,0.111,0.125,0.095,0.0,0.318,0.28,0.167,0.364,0.0,0.0,0.0,0.067,0.111,0.25,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201188,Marc Gasol,C,,12:02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.167,0.333,0.0,0.0,0.0,0.625,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,23:03,0.159,0.095,0.108,0.167,0.231,0.5,0.4,0.0,0.125,0.111,0.1,0.222,1.0,1.0,0.0,0.154,0.214,0.161,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203471,Dennis Schroder,G,,27:48,0.263,0.208,0.294,0.4,0.294,0.167,0.235,0.25,0.524,0.48,0.571,0.1,0.0,0.0,1.0,0.308,0.294,0.215,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626149,Montrezl Harrell,,,32:15,0.127,0.273,0.132,0.0,0.0,0.25,0.292,0.571,0.24,0.313,0.214,0.067,0.0,0.5,0.0,0.091,0.25,0.25,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202083,Wesley Matthews,,,11:06,0.075,0.0,0.105,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,26:38,0.208,0.333,0.234,0.333,0.188,0.125,0.095,0.0,0.045,0.034,0.0,0.182,0.0,0.0,0.0,0.25,0.059,0.273,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,19:00,0.084,0.067,0.091,0.333,0.154,0.167,0.2,0.2,0.167,0.174,0.083,0.0,0.0,0.0,0.0,0.0,0.083,0.111,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,16:40,0.21,0.091,0.208,0.25,0.4,0.0,0.0,0.0,0.133,0.111,0.143,0.375,0.0,0.0,0.0,0.0,0.083,0.079,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,10:51,0.179,0.2,0.154,0.0,0.0,0.2,0.2,0.0,0.143,0.125,0.0,0.2,0.5,0.0,0.0,0.75,0.364,0.194,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,1:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201162,Jared Dudley,,DNP - Coach's Decision                  ,,0.0,,,,,,,,,,,,,,,,,,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628035,Alfonzo McKinnie,,DNP - Coach's Decision                  ,,0.0,,,,,,,,,,,,,,,,,,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,202695,Kawhi Leonard,F,,34:00,0.36,0.313,0.388,0.091,0.286,0.455,0.313,0.0,0.1,0.067,0.176,0.25,0.4,0.0,0.5,0.208,0.176,0.302,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,201587,Nicolas Batum,F,,28:10,0.07,0.038,0.073,0.111,0.12,0.0,0.0,0.125,0.278,0.231,0.429,0.1,0.5,0.0,0.0,0.111,0.133,0.043,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,201586,Serge Ibaka,C,,20:32,0.212,0.313,0.206,0.333,0.214,0.6,0.714,0.667,0.267,0.333,0.0,0.1,0.0,1.0,0.0,0.214,0.444,0.349,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,202331,Paul George,G,,35:46,0.267,0.382,0.269,0.417,0.25,0.182,0.125,0.0,0.25,0.214,0.176,0.417,0.111,0.0,0.0,0.188,0.313,0.363,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,201976,Patrick Beverley,G,,22:07,0.197,0.2,0.209,0.222,0.217,0.0,0.0,0.571,0.133,0.273,0.231,0.25,0.0,0.0,0.5,0.308,0.0,0.172,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1627826,Ivica Zubac,,,26:31,0.115,0.143,0.086,0.0,0.0,0.333,0.333,0.375,0.214,0.273,0.083,0.167,0.143,0.5,0.0,0.267,0.182,0.151,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,202335,Patrick Patterson,,,19:37,0.133,0.056,0.135,0.2,0.267,0.0,0.0,0.333,0.182,0.214,0.125,0.167,0.333,0.0,0.0,0.182,0.0,0.065,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,101150,Lou Williams,,,25:56,0.168,0.16,0.167,0.4,0.2,0.2,0.375,0.0,0.143,0.095,0.3,0.125,0.0,0.0,0.0,0.125,0.375,0.183,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1628379,Luke Kennard,,,21:03,0.144,0.1,0.154,0.0,0.231,0.0,0.0,0.0,0.222,0.143,0.25,0.143,0.4,0.5,0.0,0.188,0.0,0.078,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629611,Terance Mann,,,1:03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,202704,Reggie Jackson,,,3:21,0.333,0.0,0.375,0.0,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629662,Mfiondu Kabengele,,,0:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629599,Amir Coffey,,,0:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612746,LAC,LA,1630187,Daniel Oturu,,DNP - Coach's Decision                  ,,0.0,,,,,,,,,,,,,,,,,,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,2544,LeBron James,F,,28:21,0.345,0.292,0.321,0.375,0.32,0.5,0.467,0.333,0.115,0.156,0.333,0.4,0.0,0.0,1.0,0.182,0.462,0.333,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203076,Anthony Davis,F,,30:53,0.277,0.32,0.288,0.0,0.111,0.125,0.095,0.0,0.318,0.28,0.167,0.364,0.0,0.0,0.0,0.067,0.111,0.25,nba_DFs/player_bs_usage_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201188,Marc Gasol,C,,12:02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.167,0.333,0.0,0.0,0.0,0.625,0.0,0.0,nba_DFs/player_bs_usage_2020-12-22.csv
